starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:18:13 2023	1697253493	0	805	805	420
Fri Oct 13 20:18:07 2023	1697253487	3	802	805	522
Fri Oct 13 20:18:11 2023	1697253491	1	805	806	429
Fri Oct 13 20:18:14 2023	1697253494	0	807	807	588
Fri Oct 13 20:18:14 2023	1697253494	1	807	807	413
Fri Oct 13 20:18:14 2023	1697253494	0	808	808	570
Fri Oct 13 20:18:14 2023	1697253494	0	808	808	473
Fri Oct 13 20:18:14 2023	1697253494	0	808	808	502
Fri Oct 13 20:18:14 2023	1697253494	0	809	809	508
Fri Oct 13 20:18:07 2023	1697253487	0	809	809	776
Fri Oct 13 20:18:07 2023	1697253487	1	809	809	790
Fri Oct 13 20:18:14 2023	1697253494	0	810	810	628
Fri Oct 13 20:18:14 2023	1697253494	0	810	810	687
Fri Oct 13 20:18:14 2023	1697253494	0	810	810	592
Fri Oct 13 20:18:17 2023	1697253497	1	810	810	739
Fri Oct 13 20:18:14 2023	1697253494	0	811	811	592
Fri Oct 13 20:18:14 2023	1697253494	1	810	811	606
Fri Oct 13 20:18:14 2023	1697253494	1	810	811	615
Fri Oct 13 20:18:12 2023	1697253492	1	811	812	606
Fri Oct 13 20:18:09 2023	1697253489	0	812	812	220
Fri Oct 13 20:18:07 2023	1697253487	0	812	812	691
Fri Oct 13 20:18:14 2023	1697253494	0	812	812	576
Fri Oct 13 20:18:10 2023	1697253490	0	812	812	673
Fri Oct 13 20:18:14 2023	1697253494	2	811	813	600
Fri Oct 13 20:18:08 2023	1697253488	1	812	813	625
Fri Oct 13 20:18:16 2023	1697253496	1	813	813	758
Fri Oct 13 20:18:17 2023	1697253497	0	814	814	798
Fri Oct 13 20:18:15 2023	1697253495	1	813	814	334
Fri Oct 13 20:18:13 2023	1697253493	0	815	815	447
Fri Oct 13 20:18:10 2023	1697253490	0	815	815	671
Fri Oct 13 20:18:05 2023	1697253485	3	812	815	319
Fri Oct 13 20:18:13 2023	1697253493	1	815	815	502
Fri Oct 13 20:18:15 2023	1697253495	1	815	816	775
Fri Oct 13 20:18:14 2023	1697253494	0	816	816	560
