starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:17:28 2023	1697253448	0	1482	1482	932
Fri Oct 13 20:17:28 2023	1697253448	1	1484	1484	1036
Fri Oct 13 20:17:28 2023	1697253448	1	1485	1486	919
Fri Oct 13 20:17:25 2023	1697253445	0	1487	1487	913
Fri Oct 13 20:17:28 2023	1697253448	0	1487	1487	947
Fri Oct 13 20:17:28 2023	1697253448	0	1489	1489	681
Fri Oct 13 20:17:25 2023	1697253445	2	1487	1489	925
Fri Oct 13 20:17:28 2023	1697253448	1	1492	1493	925
Fri Oct 13 20:17:25 2023	1697253445	1	1496	1496	890
Fri Oct 13 20:17:28 2023	1697253448	0	1497	1497	995
Fri Oct 13 20:17:24 2023	1697253444	0	1500	1500	911
Fri Oct 13 20:17:27 2023	1697253447	1	1500	1501	911
Fri Oct 13 20:17:28 2023	1697253448	1	1504	1505	998
Fri Oct 13 20:17:28 2023	1697253448	0	1506	1506	1144
Fri Oct 13 20:17:28 2023	1697253448	1	1506	1506	968
Fri Oct 13 20:17:28 2023	1697253448	0	1512	1512	1206
Fri Oct 13 20:17:35 2023	1697253455	1	1524	1525	1249
Fri Oct 13 20:17:27 2023	1697253447	1	1527	1528	928
Fri Oct 13 20:17:25 2023	1697253445	0	1528	1528	533
Fri Oct 13 20:17:25 2023	1697253445	1	1532	1532	534
Fri Oct 13 20:17:27 2023	1697253447	0	1536	1536	1004
Fri Oct 13 20:17:24 2023	1697253444	1	1552	1552	988
Fri Oct 13 20:17:28 2023	1697253448	0	1552	1552	937
Fri Oct 13 20:17:24 2023	1697253444	2	1560	1562	1008
Fri Oct 13 20:17:28 2023	1697253448	0	1568	1568	1043
Fri Oct 13 20:17:28 2023	1697253448	1	1575	1575	1201
Fri Oct 13 20:17:28 2023	1697253448	0	1577	1577	1058
Fri Oct 13 20:17:35 2023	1697253455	1	1578	1579	1365
Fri Oct 13 20:17:27 2023	1697253447	1	1578	1579	1037
Fri Oct 13 20:17:25 2023	1697253445	0	1579	1579	1013
Fri Oct 13 20:17:25 2023	1697253445	1	1585	1585	1054
Fri Oct 13 20:17:24 2023	1697253444	0	1589	1589	1037
Fri Oct 13 20:17:28 2023	1697253448	0	1590	1590	1136
Fri Oct 13 20:17:28 2023	1697253448	1	1591	1593	1075
Fri Oct 13 20:17:28 2023	1697253448	1	1601	1601	1202
Fri Oct 13 20:17:28 2023	1697253448	1	1610	1610	1282
Fri Oct 13 20:17:28 2023	1697253448	0	1611	1611	1309
Fri Oct 13 20:17:25 2023	1697253445	0	1617	1618	1062
Fri Oct 13 20:17:28 2023	1697253448	0	1619	1619	1403
Fri Oct 13 20:17:28 2023	1697253448	0	1621	1621	1293
Fri Oct 13 20:17:28 2023	1697253448	1	1624	1625	1297
Fri Oct 13 20:17:24 2023	1697253444	0	1634	1634	1023
Fri Oct 13 20:17:28 2023	1697253448	0	1638	1638	1284
Fri Oct 13 20:17:25 2023	1697253445	0	1646	1646	1060
Fri Oct 13 20:17:25 2023	1697253445	0	1656	1656	1258
Fri Oct 13 20:17:24 2023	1697253444	0	1681	1681	977
Fri Oct 13 20:17:24 2023	1697253444	0	1682	1682	1039
